Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
222 k=226 r=-280793/625000 delta=13279/1000000000 v=-224353/1000000
223 k=226 r=-771619/5000000 delta=13279/1000000000 v=815447/1000000
224 k=226 r=696511/5000000 delta=1653/125000000 v=424367/500000
225 k=226 r=2158111/5000000 delta=1653/125000000 v=-19383/125000
226 k=226 r=1445279/2000000 delta=26329/1000000000 v=-60541/62500
227 k=227 r=-87253/156250 delta=6661/500000000 v=-61539/100000
228 k=227 r=-2699579/10000000 delta=13131/1000000000 v=471477/1000000
229 k=227 r=172433/10000000 delta=6661/500000000 v=498811/500000
230 k=227 r=378989/1250000 delta=13281/1000000000 v=350431/1000000
231 k=227 r=5878987/10000000 delta=13281/1000000000 v=-703847/1000000
232 k=228 r=-6994239/10000000 delta=3297/250000000 v=-117681/125000
233 k=228 r=-2085821/5000000 delta=6619/500000000 v=-12213/125000
234 k=228 r=-8507/62500 delta=1661/125000000 v=855413/1000000
235 k=228 r=89837/625000 delta=2633/200000000 v=52451/62500
236 k=228 r=2112013/5000000 delta=2663/200000000 v=-23707/200000
237 k=228 r=109357/156250 delta=2653/200000000 v=-235517/250000
238 k=229 r=-2972987/5000000 delta=6623/500000000 v=-361313/500000
239 k=229 r=-199649/625000 delta=13257/1000000000 v=288867/1000000
240 k=229 r=-454277/10000000 delta=831/62500000 v=61471/62500
241 k=229 r=227441/1000000 delta=13157/1000000000 v=153483/250000
242 k=229 r=499181/1000000 delta=13157/1000000000 v=-206583/500000
243 k=229 r=1924497/2500000 delta=13207/1000000000 v=-499027/500000
244 k=230 r=-664361/1250000 delta=133/10000000 v=-263539/500000
245 k=230 r=-1315429/5000000 delta=263/10000000 v=495537/1000000
246 k=230 r=21139/5000000 delta=263/20000000 v=999857/1000000
247 k=230 r=2704553/10000000 delta=263/20000000 v=469721/1000000
248 k=230 r=2678033/5000000 delta=13303/1000000000 v=-135251/250000
249 k=231 r=-3855541/5000000 delta=329/25000000 v=-998367/1000000
250 k=231 r=-2540383/5000000 delta=1331/100000000 v=-445301/1000000
